File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\HelloWorldInCpp.cpp,7,6,3,1,1,0,0,0,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\HelloWorldInCpp1.cpp,7,6,3,1,1,0,0,0,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\HelloWorldInCpp2.cpp,7,6,3,1,1,0,0,0,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\JListExample.java,39,22,20,0,15,0,2,5,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\leapYear.java,20,9,5,1,8,0,3,30,1,14
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\MyFrame1.java,29,19,15,0,10,0,0,0,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\MyFrame2.java,46,27,21,0,18,1,1,4,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\MyFrame3.java,52,35,27,0,17,0,0,0,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\NestedContainers.java,35,24,22,0,10,0,1,2,0,0
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\Swing1.java,41,22,19,0,14,0,5,12,0,0
