Word,Count
year,5
if,3
is,3
check,2
to,2
TODO,2
method,2
a,2
stub,2
Auto-generated,2
leap,2
\button1.setSize(100,\,1
},1
frame.getContentPane().setLayout(new,1
we,1
\JLabel("\info"\),BorderLayout.SOUTH);\,1
{,1
program,1
\frame.getContentPane().add(list,BorderLayout.NORTH);\,1
divisible,1
frame.getContentPane().add(new,1
\BorderLayout(10,10));\,1
200);,1
\frame.getContentPane().add(jl,\,1
it,1
not,1
input,1
want,1
by,1
BorderLayout.LINE_START);,1
\frame.getContentPane().add(rb,\,1
BorderLayout.AFTER_LINE_ENDS);,1
the,1
(e.getSource()==this.exitButton),1
\4,\,1
or,1
Java,1
