Word,Count
*,45039
the,19301
to,7483
,4869
is,4810
@param,4749
{@code,4651
of,4628
a,4503
array,2884
if,2873
=,2804
be,2648
this,2616
for,2451
in,2435
or,2369
@return,2234
not,2134
null,1937
with,1810
null},1783
value,1761
and,1699
an,1634
may,1629
License,1626
{@link,1365
@since,1348
under,1348
method,1340
The,1250
as,1148
by,1133
will,1053
@throws,1039
that,1038
<p>,1000
file,982
distributed,975
object,955
are,948
</p>,928
input,894
String,875
class,854
new,829
string,808
specified,785
empty,757
type,735
from,723
This,721
use,717
See,716
-----------------------------------------------------------------------,698
index,681
on,673
You,653
Apache,651
it,642
at,634
one,595
field,560
elements,555
returns,544
return,529
<pre>,527
</pre>,523
element,500
given,498
character,495
2.0,473
no,470
used,459
you,458
number,444
IllegalArgumentException,443
instance,441
@see,435
except,433
more,424
exception,421
name,418
copy,407
using,405
either,404
time,403
start,400
A,394
values,389
<p>This,385
work,384
specific,381
information,377
can,373
obtain,368
same,364
permissions,354
required,352
additional,348
language,344
true,344
If,342
*),338
than,336
(the,333
false,333
whether,332
regarding,332
set,330
length,328
implied,327
Unless,326
copyright,326
express,326
Version,326
software,326
Software,326
NOTICE,325
OF,325
Foundation,325
compliance,325
WITHOUT,325
WARRANTIES,325
\"\AS\,325
\License,\,325
agreed,325
\IS"\\,325
ASF,325
agreements,325
governing,325
ownership,325
law,325
\writing,\,325
\BASIS,\,325
ANY,325
applicable,325
OR,325
\"\License"\);\,325
contributor,325
(ASF),325
limitations,325
Licensed,325
license,325
Tests,325
http://www.apache.org/licenses/LICENSE-2.0,325
\KIND,\,325
licenses,325
CONDITIONS,325
date,322
<code>null</code>,308
end,305
-,302
must,300
default,296
all,293
returned,291
first,289
which,288
characters,278
when,274
thread,268
into,266
should,261
null),261
any,260
fields,257
after,255
position,250
have,250
two,245
text,243
test,242
\"\"\\,241
format,239
does,237
pattern,234
\array,\,230
result,230
0,230
<code>toString</code>,229
builder,229
\2,\,228
check,220
3.0,219
has,217
\0,\,217
within,216
containing,214
code,214
only,214
match,213
