Word,Count
*,1356
the,293
,249
a,133
@param,118
@author,110
of,96
@return,89
package,88
specified,85
an,81
class,68
request,68
payment,67
and,64
The,63
to,63
response,63
is,59
for,55
Payment,54
Java,50
this,48
<p>,46
packages,43
node,41
in,41
Clarkware,38
<b>Mike,38
\Consulting,\,38
Clark</b>,38
Inc,38
Returns,37
with,37
Constructs,36
<a,34
returns,31
adapter,30
@throws,27
If,27
=,27
Sets,26
error,25
instance,25
information,25
name,25
parent,24
This,24
occurs,24
analyzed,24
PaymentException,23
tree,21
number,20
that,20
if,19
from,19
example,18
collection,18
\href="\http://www.clarkware.com"\>Clarkware\,17
Consulting</a>,17
\href="\mailto:mike@clarkware.com"\>Mike\,17
Clark</a>,17
strictly,17
file,16
or,15
interface,15
dependency,15
Performs,15
<code>JavaClass</code>,15
be,14
using,14
nothing,14
do,14
<code>true</code>,13
metrics,13
</p>,13
Collection,12
as,12
whether,12
classes,11
filter,11
child,11
model,11
are,11
new,11
otherwise,10
},10
listener,10
string,10
command,10
jPackage,10
instances,10
A,10
<code>false</code>,10
representation,10
{,10
vendor-specific,9
message,9
Parent,9
constraint,9
host,9
Adds,9
directories,9
<code>JDepend</code>,9
defines,9
authorize(),8
list,8
id,8
comment,8
password,8
similar,8
Package,8
directory,8
main,8
sequence,7
data,7
Creates,7
cycle,7
Executes,7
<code>PackageNode</code>,7
API,7
date,7
writer,7
Indicates,7
default,7
<code>AbstractPaymentCommand</code>,7
coupled,6
\package,\,6
inner,6
registered,6
amount,6
object,6
each,6
by,6
components,6
efferent,6
format,6
user,6
indicating,6
afferent,6
User,6
<code>PaymentProcessor</code>,6
</li>,6
label,6
generates,6
JavaPackage,6
completely,6
source,6
gateway,5
analyzes,5
files,5
parsed,5
action,5
distance,5
all,5
reports,5
should,5
obtained,5
Tree,5
responsible,5
within,5
Tests,5
transaction,5
names,5
root,5
cycles,5
not,5
which,5
<code>IGatewayAdapter</code>,5
String,5
Gateway,5
exists,4
selection,4
(D),4
(0-1),4
Adapt,4
void,4
parser,4
either,4
it,4
any,4
account,4
<code>PropertyConfigurator</code>,4
processor,4
coupling,4
exist,4
Determines,4
value,4
IOException,4
upon,4
sale,4
<code>DependTree</code>,4
proxy,4
match,4
current,4
component,4
0,4
non-null,4
nodes,4
test,4
method,4
<code>PackageFilter</code>,4
represented,4
its,4
success,4
capture,4
whenever,4
\tree,\,4
processed,4
b,4
has,4
was,4
does,4
throw,4
children,3
\file,\,3
values,3
Number,3
configuration,3
it's,3
used,3
containing,3
more,3
into,3
credit,3
package's,3
output,3
parsing,3
\files,\,3
dollars,3
<code>IPaymentCommand</code>,3
+,3
changes,3
Amount,3
no,3
metric,3
Analyzes,3
contains,3
Processed,3
triggered,3
listeners,3
<code>PackageNode</code,3
Node,3
Callback,3
leaf,3
processing,3
\1,\,3
boolean,3
Builds,3
Response,3
I,3
(Ce),3
capture),3
(authorize,3
Reporting,3
range,3
two,3
Directory,3
Property,3
reporting,3
float,3
l,3
<code>jdepend.properties</code>,3
classes;,3
abstract,3
index,3
JDepend,3
Parsed,3
context,3
participating,3
depend,3
handler,3
such,3
previously,3
<code>CaptureCommand</code>,2
<code>AfferentNode</code>,2
comma-separated,2
false;,2
against,2
<code>SaleCommand</code>,2
behavior,2
appropriate,2
display,2
int,2
catch,2
PaymentException(e.getMessage());,2
represents,2
<code>StatusPanel</code>,2
contain,2
populated,2
Efferent,2
changed,2
jClass,2
instable,2
Install,2
purchase,2
capturing,2
(success),2
authorizing,2
single,2
<blockquote>,2
Called,2
Name,2
<pre>,2
imported,2
frame,2
tests,2
use,2
</i>,2
</blockquote>,2
\war,\,2
tolerance,2
abstractness,2
gateways,2
<code>EfferentNode</code>,2
originates,2
y,2
adapts,2
f,2
<code>JavaPackage</code>,2
JDepend();,2
will,2
generic,2
